"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1005541","公益社団法人日本アイソトープ協会","Japan Radioisotope Association","コウエキシャダンホウジンニホンアイソトープキョウカイ","113-8941","東京都","文京区","本駒込2-28-45","03-5395-8081","03-5395-8053","http://www.jrias.or.jp/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005542","一般財団法人日本エスペラント協会","IPPANZAIDANHOJINNIHONESUPERANTOKYOKAI","イッパンザイダンホウジンニホンエスペラントキョウカイ","162-0042","東京都","新宿区","早稲田町12-3","03-3203-4581","03-3203-4582","http://www.jei.or.jp/",,2013/1/29 0:00:00,2016/5/25 0:00:00
"JP-1005543","公益社団法人日本外国特派員協会図書室","The Foreign Correspondents' Club of Japan","コウエキシャダンホウジンニホンガイコクトクハインキョウカイトショシツ","100-0006","東京都","千代田区","有楽町1-7-1有楽町電気ビル19Ｆ","03-3211-8170","03-3285-0644","http://www.fccj.or.jp/facilities/library-and-workroom.html",,2013/1/29 0:00:00,2016/3/15 0:00:00
"JP-1005544","公益社団法人日本化学会化学情報センター","The Chemistry Library","コウエキシャダンホウジンニホンカガクカイカガクジョウホウセンター","101-8307","東京都","千代田区","神田駿河台1-5","03-3292-6171","03-3292-6319","http://www.chemistry.or.jp/societyguide/library/",,2013/1/29 0:00:00,2016/3/15 0:00:00
"JP-1005545","日本学士院","The Japan Academy","ニッポンガクシイン","110-0007","東京都","台東区","上野公園7-32","03-3822-2101","03-3822-2105","http://www.japan-acad.go.jp/japanese/about/material.html",,2013/1/29 0:00:00,
"JP-1005546","公益社団法人日本画像情報マネジメント協会","Japan Image and Infomation Management Association","コウエキシャダンホウジンニホンガゾウジョウホウマネジメントキョウカイ","101-0032","東京都","千代田区","岩本町2-1-3和光ビル7階","03-5821-7351","03-5821-7354","http://www.jiima.or.jp/",,2013/1/29 0:00:00,2014/6/30 0:00:00
"JP-1005547","日本カメラ博物館JCIIライブラリー","JCII Camera Museum JCII LIBRARY","ニホンカメラハクブツカンジェーシーアイアイライブラリー","102-0082","東京都","千代田区","一番町25 JCIIビル","03-3263-7111(内線297)","03-3234-4624","http://www.jcii-cameramuseum.jp/",,2013/1/29 0:00:00,
"JP-1005548","公益財団法人日本関税協会","Japan Tariff Association","コウエキザイダンホウジンニホンカンゼイキョウカイ","101-0062","東京都","千代田区","神田駿河台3-4-2　日専連朝日生命ビル6階","03-6826-1430","03-6826-1432","http://www.kanzei.or.jp/",,2013/1/29 0:00:00,2016/7/12 0:00:00
"JP-1005549","一般社団法人日本機械学会図書室","The Japan Society of Mechanical Engineers","イッパンシャダンホウジンニホンキカイガッカイトショシツ","160-0016","東京都","新宿区","信濃町35信濃町煉瓦館5Ｆ","03-5360-3500","03-5360-3508","http://www.jsme.or.jp/japanese/contents/08/07.html",,2013/1/29 0:00:00,2016/3/15 0:00:00
"JP-1005550","一般財団法人日本教育会館附設教育図書館","Education Library","イッパンザイダンホウジンニホンキョウイクカイカンフセツキョウイクトショカン","101-0003","東京都","千代田区","一ツ橋2-6-2日本教育会館5Ｆ","03-3230-4437","03-3230-4437","http://www.jec.or.jp/tosho/index.html",,2013/1/29 0:00:00,2013/2/4 0:00:00
"JP-1005551","公益財団法人日本極地研究振興会","Japan Polar Research Association","コウエキザイダンホウジンニホンキョクチケンキュウシンコウカイ","190-0023","東京都","立川市","柴崎町2丁目5-2 三多摩第一ビル503","042-512-5357","042-512-5358","",,2013/1/29 0:00:00,2016/3/16 0:00:00
"JP-1005552","独立行政法人日本芸術文化振興会国立劇場図書閲覧室","Japan Arts Council National Theatre Library","ドクリツギョウセイホウジンニホンゲイジュツブンカシンコウカイコクリツゲキジョウトショエツランシツ","102-8656","東京都","千代田区","隼町4-1","03-3265-6300","03-3265-6593","http://www.ntj.jac.go.jp/tradition/lib.html",,2013/1/29 0:00:00,2013/2/8 0:00:00
"JP-1005553","独立行政法人日本芸術文化振興会国立能楽堂図書閲覧室","Japan Arts Council National Noh Theatre Library","ドクリツギョウセイホウジンニホンゲイジュツブンカシンコウカイコクリツノウガクドウトショエツランシツ","151-0051","東京都","渋谷区","千駄ヶ谷4-18-1","03-3423-1145","03-3423-3526","http://www.ntj.jac.go.jp/nou/lib.html#3",,2013/1/29 0:00:00,2016/3/16 0:00:00
"JP-1005554","一般財団法人日本鯨類研究所図書室","The Institute of Cetacean Research","イッパンザイダンホウジンニホンゲイルイケンキュウジョトショシツ","104-0055","東京都","中央区","豊海町4-5豊海振興ビル5階","03-3536-6521","03-3536-6522","http://www.icrwhale.org",,2013/1/29 0:00:00,2016/3/16 0:00:00
"JP-1005555","一般財団法人日本航空協会航空図書館","Aviation Library, Japan Aeronautic Association","イッパンザイダンホウジンニホンコウクウキョウカイコウクウトショカン","105-0004","東京都","港区","新橋1-18-1航空会館6Ｆ","03-3502-1205","03-3503-1375","http://www.aero.or.jp/koku_tosyokan/koku_toshokan.html",,2013/1/29 0:00:00,
"JP-1005556","一般社団法人日本交通協会図書室","IPPANSHADANHOJINNIHONKOTSUKYOKAITOSHOSHITSU","イッパンシャダンホウジンニホンコウツウキョウカイトショシツ","100-0005","東京都","千代田区","丸の内3-4-1新国際ビル916号","03-3216-7877","03-3216-4087","http://www.kotsu.or.jp/",,2013/1/29 0:00:00,2016/3/16 0:00:00
"JP-1005557","日本光電工業株式会社総務部資料室","NIHONKODENKOGYOKABUSHIKIGAISHASOMUBUSHIRYOSHITSU","ニホンコウデンコウギョウカブシキガイシャソウムブシリョウシツ","161-8560","東京都","新宿区","西落合1-31-4","03-5996-8241","03-5996-8264","",,2013/1/29 0:00:00,2016/3/16 0:00:00
"JP-1005558","日本サムスン株式会社資料室","Samsung Japan Corporation Information Center","ニホンサムスンカブシキガイシャシリョウシツ","108-8240","東京都","港区","港南2-16-4品川グランドセントラルタワー10F","03-6369-6000","","",,2013/1/29 0:00:00,2016/3/17 0:00:00
"JP-1005559","一般財団法人日本自転車普及協会自転車文化センター","Bicycling Popularization Association of Japan, Bicycle Culture Center","イッパンザイダンホウジンニホンジテンシャフキュウキョウカイジテンシャブンカセンター","141-0021","東京都","品川区","上大崎3-3-1自転車総合ビル1F","03-4334-7953","03-4334-7958","http://www.cycle-info.bpaj.or.jp/",,2013/1/29 0:00:00,2014/6/30 0:00:00
"JP-1005560","公益社団法人日本水道協会","JAPAN WATER WORKS ASSOCIATION","コウエキシャダンホウジンニホンスイドウキョウカイ","102-0074","東京都","千代田区","九段南4-8-9","03-3264-2395","03-3262-2244","http://www.jwwa.or.jp/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005562","公益財団法人日本税務研究センター図書室","Japan Tax Research Institute Library","コウエキザイダンホウジンニホンゼイムケンキュウセンタートショシツ","141-0032","東京都","品川区","大崎1-11-8日本税理士会館2Ｆ","03-5435-0915","03-5435-0916","https://www.jtri.or.jp/library/about.php",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005563","日本中央競馬会広報部報道室図書室","NIPPONCHUOKEIBAKAIKOHOBUHODOSHITSUTOSHOSHITSU","ニッポンチュウオウケイバカイコウホウブホウドウシツトショシツ","105-0003","東京都","港区","西新橋1-1-19","03-3591-5251","03-3591-0628","",,2013/1/29 0:00:00,2014/7/1 0:00:00
"JP-1005564","公益財団法人日本釣振興会","Japan Sportfishing Association","コウエキザイダンホウジンニホンツリシンコウカイ","104-0032","東京都","中央区","八丁堀2-22-8","03-3555-3232","03-5542-2941","http://www.jsafishing.or.jp/activity/bunka",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005565","日本テレビ放送網株式会社技術統括局情報ライブラリー部資料室","NIPPON TELEVISION NETWORK CORPORATION Engineering & Technology Division Content Archive Library","ニッポンテレビホウソウモウカブシキガイシャギジュツトウカツキョクジョウホウライブラリーブシリョウシツ","105-7444","東京都","港区","東新橋1-6-1","03-6215-3932(内線5820）","03-6215-3933","",,2013/1/29 0:00:00,
"JP-1005566","公益社団法人日本道路協会図書室","KOEKISHADANHOJINNIHONDOROKYOKAITOSHOSHITSU","コウエキシャダンホウジンニホンドウロキョウカイトショシツ","100-8955","東京都","千代田区","霞ヶ関3-3-1","03-3581-2211","03-3581-2232","http://www.road.or.jp/profile/library.html",,2013/1/29 0:00:00,2014/7/1 0:00:00
"JP-1005567","一般社団法人日本貿易会","Japan Foreign Trade Council, Inc.","イッパンシャダンホウジンニホンボウエキカイ","105-6106","東京都","港区","浜松町2-4-1世界貿易センタービル6階","03-3435-5959","03-3435-5979","http://www.jftc.or.jp/",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005568","日本ロシア語情報図書館","Japan Russian Sources Library","ニホンロシアゴジョウホウトショカン","156-0052","東京都","世田谷区","経堂1-11-2","03-3429-8239","03-3425-8616","http://www.tokyorus.ac.jp/jrsl/",,2013/1/29 0:00:00,2019/6/4 0:00:00
"JP-1005569","農文協図書館","Nobunkyo Agricultural Library","ノウブンキョウトショカン","107-8668","東京都","港区","赤坂7-6-1","03-6459-1131","","http://nbklib.ruralnet.or.jp/index.php",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005570","公益財団法人野間教育研究所","The Noma Institute of Educational Research","コウエキザイダンホウジンノマキョウイクケンキュウジョ","112-0012","東京都","文京区","大塚2-8-3","03-3944-2421","03-3944-2425","http://www.nomaken.jp/library/index.html",,2013/1/29 0:00:00,2014/7/1 0:00:00
"JP-1005571","フェデリコ・ガルシア・ロルカ図書館","Biblioteca Federico García Lorca　(Institution name in Spanish)","フェデリコガルシアロルカトショカン","102-0085","東京都","千代田区","六番町2-9セルバンテスビル セルバンテス文化センター内","03-5210-1704","03-5210-1714","http://tokio.cervantes.es/jp/library_spanish/general_information_library_spanish.htm",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005572","株式会社富士通総研経済研究所","KABUSHIKIGAISHAFUJITSUSOKENKEIZAIKENKYUJO","カブシキガイシャフジツウソウケンケイザイケンキュウジョ","105-0022","東京都","港区","海岸1-16-1ニューピア竹芝サウスタワー","03-5401-8392","03-5401-8438","http://www.fujitsu.com/jp/group/fri/economic/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005573","防衛省防衛研究所戦史研究センター史料室","Military Archives, Center for Military History, The National Institute for Defense Studies","ボウエイショウボウエイケンキュウショセンシケンキュウセンターシリョウシツ","162-8808","東京都","新宿区","市谷本村町5番1号","03-3260-7102","","http://www.nids.mod.go.jp/military_archives/index.html",,2013/1/29 0:00:00,2017/5/15 0:00:00
"JP-1005574","法政大学沖縄文化研究所","HOSEI UNIVERSITY INSTITUTE FOR OKINAWAN STUDIES","ホウセイダイガクオキナワブンカケンキュウジョ","102-8160","東京都","千代田区","富士見2-17-1","03-3264-9393","03-3264-9335","http://www.hosei.ac.jp/fujimi/okiken/framemain.html",,2013/1/29 0:00:00,2014/7/1 0:00:00
"JP-1005575","一般財団法人光文文化財団ミステリー文学資料館","Japan Library of Mystery Literature","イッパンザイダンホウジンコウブンブンカザイダンミステリーブンガクシリョウカン","171-0014","東京都","豊島区","池袋3-1-2光文社ビル1Ｆ","03-3986-3024","03-5957-0933","http://www.mys-bun.or.jp/index.html",,2013/1/29 0:00:00,2014/7/1 0:00:00
"JP-1005576","公益財団法人三井文庫","Mitsui Research Institute for Social and Economic History","コウエキザイダンホウジンミツイブンコ","164-0002","東京都","中野区","上高田5-16-1","03-3387-9431","03-3387-9432","http://www.mitsui-bunko.or.jp/index.html",,2013/1/29 0:00:00,
"JP-1005577","武蔵野大学能楽資料センター","Musashino University The Noh Research Archives","ムサシノダイガクノウガクシリョウセンター","202-8585","東京都","西東京市","新町1-1-20","042-468-9742","042-468-9742","http://www.musashino-u.ac.jp/facilities/noh_research_archives.html",,2013/1/29 0:00:00,2013/2/27 0:00:00
"JP-1005578","丸善雄松堂ゲスナー・ライブラリー","MARUZEN-YUSHODO Gesner Library","マルゼンユウショウドウゲスナー・ライブラリー","160-0002","東京都","新宿区","坂町27","03-3357-1417","03-3356-8730","https://myrp.maruzen.co.jp/showroom/gesner/",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005579","公益財団法人ユネスコ・アジア文化センターACCUライブラリー","Asia-Pacific Cultural Centre for UNESCO ACCU Library","コウエキザイダンホウジンユネスコ・アジアブンカセンターエーシーシーユーライブラリー","162-8484","東京都","新宿区","袋町6日本出版会館1Ｆ","03-3269-4435","03-3269-4510","http://www.accu.or.jp/jp/accu_library/index.html",,2013/1/29 0:00:00,2016/3/22 0:00:00
"JP-1005580","一般財団法人ラスキン文庫","The Ruskin Library of Tokyo","イッパンザイダンホウジンラスキンブンコ","104-0045","東京都","中央区","築地2-15-15-105","03-3542-7874","03-3542-3655","http://jruskin.la.coocan.jp/",,2013/1/29 0:00:00,2019/6/4 0:00:00
"JP-1005581","リビングデザインセンターOZONE CLUB OZONE スクエアビジネスラウンジ&ライブラリー","LIVING DESIGN CENTER OZONE CLUB OZONE SQUARE BUSINESS LOUNGE & LIBRARY","リビングデザインセンターオゾンクラブオゾンスクエアビジネスラウンジアンドライブラリー","163-1062","東京都","新宿区","西新宿3-7-1新宿パークタワー7F","03-5322-6500","03-5322-6520","http://www.ozone.co.jp/index.html",,2013/1/29 0:00:00,2016/3/24 0:00:00
"JP-1005582","独立行政法人労働安全衛生総合研究所(清瀬地区)","National Institute of Occupational Safety and Health","ドクリツギョウセイホウジンロウドウアンゼンエイセイソウゴウケンキュウジョキヨセチク","204-0024","東京都","清瀬市","梅園1-4-6","042-491-4512","042-491-7846","https://www.jniosh.go.jp/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005584","いすゞ自動車株式会社開発技術企画部技術情報グループ","IISUZU MOTORS LIMITED Engineering Information Group Engineering Planning Dept.","イスズジドウシャカブシキカイシャカイハツギジュツキカクブギジュツジョウホウグループ","252-0881","神奈川県","藤沢市","土棚8番地","0466-45-2601","","",,2013/1/29 0:00:00,2013/2/6 0:00:00
"JP-1005585","神奈川県衛生研究所図書情報閲覧室","KANAGAWAKENEISEIKENKYUJOTOSHOJOHOETSURANSHITSU","カナガワケンエイセイケンキュウジョトショジョウホウエツランシツ","253-0087","神奈川県","茅ヶ崎市","下町屋1-3-1","0467-83-4400","0467-83-4457","http://www.eiken.pref.kanagawa.jp/000_about/0001_business/0001_info_corner.html",,2013/1/29 0:00:00,
"JP-1005586","神奈川県立産業技術総合研究所図書室","Kanagawa Institute of Industrial Science and Technology","カナガワケンリツサンギョウギジュツソウゴウケンキュウジョトショシツ","243-0435","神奈川県","海老名市","下今泉705-1","046-236-1500(内線2310)","046-236-1528","https://www.kanagawa-iri.jp/library/",,2013/1/29 0:00:00,2019/5/23 0:00:00
"JP-1005587","一般社団法人神奈川県トラック協会図書資料室","Kanagawa Prefectural Trucking Association","イッパンシャダンホウジンカナガワケントラックキョウカイトショシリョウシツ","222-8510","神奈川県","横浜市港北区","新横浜2-11-1","045-471-5511(内線19)","045-471-9055","http://www.kta.or.jp/pub/library/index.html",,2013/1/29 0:00:00,2016/3/24 0:00:00
"JP-1005588","神奈川県立神奈川近代文学館","Kanagawa Museum of Modern Literature","カナガワケンリツカナガワキンダイブンガクカン","231-0862","神奈川県","横浜市中区","山手町110","045-622-6666","045-623-4841","http://www.kanabun.or.jp/",,2013/1/29 0:00:00,2016/3/24 0:00:00
"JP-1005590","神奈川県自然環境保全センター","Kanagawa Prefectural Natural Environment Conservation Center","カナガワケンシゼンカンキョウホゼンセンター","243-0121","神奈川県","厚木市","七沢657","046-248-0323","046-248-0737","http://www.pref.kanagawa.jp/div/1644/",,2013/1/29 0:00:00,2013/2/6 0:00:00
"JP-1005591","神奈川県立生命の星・地球博物館ミュージアムライブラリー","Kanagawa Prefectural Museum of Natural History, Library","カナガワケンリツセイメイノホシチキュウハクブツカンミュージアムライブラリー","250-0031","神奈川県","小田原市","入生田499","0465-21-1515(内線342)","0465-23-8846","http://nh.kanagawa-museum.jp/information/navi.html#lib",,2013/1/29 0:00:00,
"JP-1005592","神奈川県立総合教育センター教育図書室","KANAGAWAKENRITSUSOGOKYOIKUSENTAKYOIKUTOSHOSHITSU","カナガワケンリツソウゴウキョウイクセンターキョウイクトショシツ","251-0871","神奈川県","藤沢市","善行7-1-1","0466-81-1679","0466-84-2040","http://www.edu-ctr.pref.kanagawa.jp/Snavi/sisetuSnavi/kyouikutoshositu.html",,2013/1/29 0:00:00,2013/2/7 0:00:00
"JP-1005593","神奈川県立総合教育センター教育図書室分室","KANAGAWAKENRITSUSOGOKYOIKUSENTAKYOIKUTOSHOSHITSUBUNSHITSU","カナガワケンリツソウゴウキョウイクセンターキョウイクトショシツブンシツ","252-0813","神奈川県","藤沢市","亀井野2547-4","0466-81-8521(内線750)","0466-83-4500","http://www.edu-ctr.pref.kanagawa.jp/Snavi/sisetuSnavi/kyouikutoshositu.html",,2013/1/29 0:00:00,
"JP-1005594","神奈川県立地球市民かながわプラザ情報フォーラム・映像ライブラリー","Kanagawa Plaza for Global Information forum AV library","カナガワケンリツチキュウシミンカナガワプラザジョウホウフォーラムエイゾウライブラリー","247-0007","神奈川県","横浜市栄区","小菅ヶ谷1-2-1","045-896-2976","045-896-2894","https://www.earthplaza.jp/explain.html",,2013/1/29 0:00:00,2020/3/2 0:00:00
"JP-1005595","地方独立行政法人神奈川県立病院機構神奈川県立こども医療センター図書室","Kanagawa Children's Medical Center Library","チホウドクリツギョウセイホウジンカナガワケンリツビョウインキコウカナガワケンリツコドモイリョウセンタートショシツ","232-8555","神奈川県","横浜市南区","六ツ川2-138-4","045-711-2351(内線2561)","045-742-7821","http://kcmc.kanagawa-pho.jp/department/library.html",,2013/1/29 0:00:00,2016/3/24 0:00:00
"JP-1005596","神奈川県立歴史博物館ミュージアムライブラリー","Kanagawa Prefectural Museum of Cultural History Library","カナガワケンリツレキシハクブツカンミュージアムライブラリー","231-0006","神奈川県","横浜市中区","南仲通5-60","045-201-0926","045-201-7364","http://ch.kanagawa-museum.jp/museum-library",,2013/1/29 0:00:00,2019/5/16 0:00:00
"JP-1005597","かながわ労働プラザ情報コーナー","KANAGAWARODOPURAZAJOHOKONA","カナガワロウドウプラザジョウホウコーナー","231-0026","神奈川県","横浜市中区","寿町1-4","045-633-6110(内線2200～2201)","045-633-5416","http://www.zai-roudoufukushi-kanagawa.or.jp/~l-plaza/zyoho.html",,2013/1/29 0:00:00,
"JP-1005598","株式会社JVCケンウッド","KABUSHIKIGAISHAJIEBUISHIKENUDDO","カブシキガイシャジェーヴイシーケンウッド","226-8525","神奈川県","横浜市緑区","白山1-16-2","045-939-7013","045-939-7097","http://www.jvckenwood.com/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005599","独立行政法人国立特別支援教育総合研究所図書室","National Institute of Special Needs Education","ドクリツギョウセイホウジンコクリツトクベツシエンキョウイクソウゴウケンキュウジョトショシツ","239-8585","神奈川県","横須賀市","野比5-1-1","046-839-6830","046-839-6939","http://www.nise.go.jp/cms/7,0,16.html",,2013/1/29 0:00:00,2014/7/4 0:00:00
"JP-1005600","ＪＮＣ株式会社横浜研究所","JNC CORPORATION","ジェーエヌシーカブシキガイシャヨコハマケンキュウジョ","236-8605","神奈川県","横浜市金沢区","大川5-1","045-786-5501","","",,2013/1/29 0:00:00,2013/2/28 0:00:00
"JP-1005601","JFEエンジニアリング株式会社情報センター","JIEIEFUIENJINIARINGUKABUSHIKIGAISHAJOHOSENTA","ジェイエフイーエンジニアリングカブシキガイシャジョウホウセンター","230-0045","神奈川県","横浜市鶴見区","末広町2-1","045-505-7705","045-505-8946","",,2013/1/29 0:00:00,
"JP-1005602","公益財団法人塩事業センター塩業資料室","The Salt Industry Center of Japan, Library of Salt Industrial History","コウエキザイダンホウジンシオジギョウセンターエンギョウシリョウシツ","256-0816","神奈川県","小田原市","酒匂4-13-20","0465-47-3161","0465-48-6242","http://www.shiojigyo.com/a070materialroom/",,2013/1/29 0:00:00,2014/7/4 0:00:00
"JP-1005603","新聞ライブラリー","Newspaper Library","シンブンライブラリー","231-8311","神奈川県","横浜市中区","日本大通11横浜情報文化センター4Ｆ","045-661-2041","045-661-2029","http://newspark.jp/newspark/",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005604","国立研究開発法人水産研究・教育機構水産資源研究所図書資料館","Library and Fisheries Museum of Fisheries Resources Institute, Japan Fisheries Research and Education Agency","コクリツケンキュウカイハツホウジン スイサンケンキュウ・キョウイクキコウ スイサンシゲンケンキュウショ　トショシリョウカン","236-8648","神奈川県","横浜市金沢区","福浦2-12-4","045-788-7608","045-788-5001","https://www.fra.go.jp/library/",,2013/1/29 0:00:00,2023/8/31 0:00:00
"JP-1005605","地名資料室","CHIMEISHIRYOSHITSU","チメイシリョウシツ","213-0001","神奈川県","川崎市高津区","溝口1-6-10生活文化会館4Ｆ","044-812-1102","044-812-2079","http://www.city.kawasaki.jp/880/category/10-6-6-0-0-0-0-0-0-0.html",,2013/1/29 0:00:00,2013/2/18 0:00:00
"JP-1005608","日産自動車株式会社R&Dライブラリー","Nissan Motor Co., LTD. Research & Development Library","ニッサンジドウシャカブシキガイシャアールアンドディーライブラリー","","","","","","","",,2013/1/29 0:00:00,2013/2/4 0:00:00
"JP-1005609","株式会社日本住情報交流センター","KABUSHIKIGAISHANIHONJUJOHOKORYUSENTA","カブシキガイシャニホンジュウジョウホウコウリュウセンター","224-0001","神奈川県","横浜市都筑区","中川1-4-1","045-912-4110","045-912-4711","http://www.housquare.co.jp/johokan/library/",,2013/1/29 0:00:00,
"JP-1005610","日本地名研究所","The Japanese Center for Toponymic Studies","ニホンチメイケンキュウジョ","213-0001","神奈川県","川崎市高津区","溝口1-6-10川崎市生活文化会館てくのかわさき4Ｆ","044-812-1106","044-812-1191","http://chimei.people.co.jp/",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005611","富士ゼロックス株式会社TIC","Fujixerox.Corporation,TIC","フジゼロックスカブシキガイシャティーアイシー","243-0494","神奈川県","海老名市","本郷2274","046-238-3111","","",,2013/1/29 0:00:00,2013/2/15 0:00:00
"JP-1005612","株式会社ブリヂストンKTC図書室","KABUSHIKIGAISHABURIJISUTONKETEISHITOSHOSHITSU","カブシキガイシャブリヂストンケーティーシートショシツ","244-8510","神奈川県","横浜市戸塚区","柏尾町1","045-825-7534","045-825-7672","",,2013/1/29 0:00:00,2022/4/28 0:00:00
"JP-1005613","公益財団法人放送番組センター放送ライブラリー","Broadcast Library","コウエキザイダンホウジンホウソウバングミセンターホウソウライブラリー","231-0021","神奈川県","横浜市中区","日本大通11横浜情報文化センター内","045-222-2881","045-641-2110","https://www.bpcj.or.jp/",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005614","横浜ゴム株式会社","The Yokohama Rubber Co., Ltd.","ヨコハマゴムカブシキガイシャ","254-8601","神奈川県","平塚市","追分2-1","0463-35-9737","0463-35-9749","",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005615","横浜美術館美術情報センター","YOKOHAMA MUSEUM OR ART, Art Information and Media Center","ヨコハマビジュツカンビジュツジョウホウセンター","220-0012","神奈川県","横浜市西区","みなとみらい3-4-1","045-221-0316","045-221-0317","http://yokohama.art.museum/research/center/index.html",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005616","横浜みなと博物館ライブラリー","Yokohama Port Museum Library","ヨコハマミナトハクブツカンライブラリー","220-0012","神奈川県","横浜市西区","みなとみらい2-1-1","045-221-0280(内線293)","045-221-0277","http://www.nippon-maru.or.jp/port-museum/library.html",,2013/1/29 0:00:00,2013/2/21 0:00:00
"JP-1005618","環境省自然環境局生物多様性センター","Biodiversity Center of Japan","カンキョウショウシゼンカンキョウキョクセイブツタヨウセイセンター","403-0005","山梨県","富士吉田市","上吉田剣丸尾5597-1","0555-72-6031","0555-72-6032","http://www.biodic.go.jp/center/tosyositu.html",,2013/1/29 0:00:00,
"JP-1005619","日本自分史文学館","The Nippon Jibunshi Library","ニッポンジブンシブンガクカン","403-0004","山梨県","富士吉田市","下吉田1-14-29","0555-24-2000","0555-24-2000","",,2013/1/29 0:00:00,2013/2/7 0:00:00
"JP-1005620","山中湖文学の森三島由紀夫文学館","Mishima Yukio Literary Museum","ヤマナカコブンガクノモリミシマユキオブンガクカン","401-0502","山梨県","南都留郡山中湖村","平野506-296","0555-20-2655","0555-20-2656","http://www.mishimayukio.jp/",,2013/1/29 0:00:00,2019/6/4 0:00:00
"JP-1005621","山梨県県民情報センター","Yamanashi Prefectural Information Center","ヤマナシケンケンミンジョウホウセンター","400-8501","山梨県","甲府市","丸の内1-6-1","055-223-1408","055-223-1409","http://www.pref.yamanashi.jp/kenmin-jho/index.html",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005622","山梨県立文学館","YAMANASHIKENRITSUBUNGAKUKAN","ヤマナシケンリツブンガクカン","400-0065","山梨県","甲府市","貢川1-5-35","055-235-8080","055-226-9032","http://www.bungakukan.pref.yamanashi.jp/",,2013/1/29 0:00:00,
"JP-1005623","塩尻短歌館","SHIOJIRITANKAKAN","シオジリタンカカン","399-0706","長野県","塩尻市","大字広丘原新田288-1","0263-53-7171","0263-53-3506","http://www.city.shiojiri.lg.jp/kanko/sogokankoannai/meisyokyuseki/tankakan.html",,2013/1/29 0:00:00,2017/4/25 0:00:00
"JP-1005624","長野県総務部行政情報センター","Nagano Prefectural Government General Affairs Department Administrative Information Center","ナガノケンソウムブギョウセイジョウホウセンター","380-8570","長野県","長野市","大字南長野字幅下692-2","026-235-7060","026-235-7370","http://www.pref.nagano.lg.jp/kokai/kensei/tokei/johokokai/teikyo/joho-center/index.html",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005625","松代地震センター","Research Center of Matsushiro Earthquake Swarm","マツシロジシンセンター","381-1232","長野県","長野市","松代町西条3511","026-278-1295","026-278-2420","http://www.data.jma.go.jp/svd/eqev/data/matsushiro/center/center.html",,2013/1/29 0:00:00,2016/5/25 0:00:00
"JP-1005627","社会福祉法人新潟県社会福祉協議会新潟ユニゾンプラザ図書閲覧室","Niigata Council of Social Welfare Unison Plaza Library","シャカイフクシホウジンニイガタケンシャカイフクシキョウギカイニイガタユニゾンプラザトショエツランシツ","950-0994","新潟県","新潟市中央区","上所2-2-2新潟ユニゾンプラザ2Ｆ","025-281-5514","025-281-5562","http://www.unisonplaza.jp/reading_room/",,2013/1/29 0:00:00,2016/3/25 0:00:00
"JP-1005628","新潟県醸造試験場","NIIGATA PREFECTURAL SAKE RESEARCH INSTITUTE","ニイガタケンジョウゾウシケンジョウ","951-8121","新潟県","新潟市中央区","水道町2-5932-133","025-222-4568","025-224-0957","http://www.pref.niigata.lg.jp/jozo/1219341670947.html",,2013/1/29 0:00:00,2017/2/28 0:00:00
"JP-1005629","新潟県総務管理部文書私学課行政情報センター","Niigata Prefectural Government Department of General affairs and management, Document Management and Private Education Division, Administrative Information Office","ニイガタケンソウムカンリブブンショシガクカギョウセイジョウホウセンター","950-8570","新潟県","新潟市中央区","新光町4-1","025-285-5511","025-283-5065","http://www.pref.niigata.lg.jp/bunsho/madoguchi.html",,2013/1/29 0:00:00,2013/2/4 0:00:00
"JP-1005630","新潟県農業総合研究所","Niigata Agricultural Research Institute","ニイガタノウギョウソウゴウケンキュウジョ","940-0826","新潟県","長岡市","長倉町857","0258-35-0823","0258-39-8498","https://www.pref.niigata.lg.jp/site/nosoken/",,2013/1/29 0:00:00,2022/12/15 0:00:00
